catchment,year,tube_number,date_in,date_out,daysout_number,inorganic_g,organic_g,inorganic_gperm2,organic_gperm2
99L,1999,9,1999-08-06,1999-10-15,70,5.1907,0.2760,8440.024000000001,448.77599999999967
99L,1999,10,1999-08-06,1999-10-15,70,4.8487,0.3680,7883.931999999998,598.368000000002
99L,2000,1,2000-07-17,2000-10-13,88,2.0505,0.1005,3334.1130000000007,163.41299999999896
99L,2000,2,2000-07-17,2000-10-13,88,2.8780,0.1226,4679.628,199.34760000000043
99L,2000,3,2000-07-17,2000-10-13,88,2.5404,0.1542,4130.6904,250.72920000000056
99L,2000,4,2000-07-17,2000-10-13,88,2.8250,0.2915,4593.45,473.97900000000016
99L,2000,5,2000-07-17,2000-10-13,88,7.3951,0.2947,12024.450666666668,479.1279999999993
99L,2000,6,2000-07-17,2000-10-13,88,7.7022,0.3978,12523.777199999999,646.8228000000003
99L,2000,7,2000-07-17,2000-10-13,88,8.4060,0.3980,13668.156,647.1479999999995
99L,2000,8,2000-07-17,2000-10-13,88,9.9675,0.5340,16207.154999999995,868.284000000004
99L,2000,9,2000-07-17,2000-10-13,88,5.0362,0.4260,8188.9425,692.6759999999988
99L,2000,10,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99L,2000,1,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99L,2000,2,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99L,2000,3,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99L,2000,4,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99L,2000,5,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99L,2000,6,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99L,2000,7,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99L,2000,8,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99L,2000,9,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99L,2000,10,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99L,2001,1,2001-05-17,2001-07-24,68,0.3226,0.0119,524.5476000000003,19.349399999999676
99L,2001,2,2001-05-17,2001-07-24,68,0.6275,0.0685,1020.2607999999992,111.43520000000036
99L,2001,3,2001-05-17,2001-07-24,68,1.4428,0.1536,2345.9927999999986,249.75360000000137
99L,2001,4,2001-05-17,2001-07-24,68,1.2690,0.0942,2063.3940000000002,153.16920000000047
99L,2001,5,2001-05-17,2001-07-24,68,2.0928,0.1069,3402.8928000000005,173.8735999999989
99L,2001,6,2001-05-17,2001-07-24,68,1.4816,0.1280,2409.0816000000004,208.12800000000016
99L,2001,7,2001-05-17,2001-07-24,68,2.3228,0.1716,3776.8728,279.0215999999996
99L,2001,8,2001-05-17,2001-07-24,68,4.2644,0.2156,6933.914400000001,350.56560000000036
99L,2001,9,2001-05-17,2001-07-24,68,3.9360,0.1920,6399.9360000000015,312.1920000000003
99L,2001,10,2001-05-17,2001-07-24,68,5.8152,0.2456,9455.5152,399.34559999999937
99U,1997,1,1997-08-19,1997-11-13,86,0.2449,0.0328,398.20739999999984,53.33279999999991
99U,1997,2,1997-08-19,1997-11-13,86,0.9624,0.0769,1564.8623999999995,125.03940000000031
99U,1997,3,1997-08-19,1997-11-13,86,2.9906,0.1596,4862.7155999999995,259.50959999999884
99U,1997,4,1997-08-19,1997-11-13,86,0.3473,0.0485,564.7097999999999,78.86100000000035
99U,1997,5,1997-08-19,1997-11-13,86,0.3465,0.0072,563.4089999999997,11.707200000000157
99U,1997,6,1997-08-19,1997-11-13,86,0.5372,0.0167,873.4871999999998,27.15420000000026
99U,1997,7,1997-08-19,1997-11-13,86,0.1883,0.0289,306.17579999999987,46.99139999999988
99U,1997,8,1997-08-19,1997-11-13,86,4.2826,0.2052,6963.507600000001,333.6552000000044
99U,1997,9,1997-08-19,1997-11-13,86,10.8680,0.2736,17671.368000000002,444.87360000000587
99U,1997,10,1997-08-19,1997-11-13,86,4.1990,0.1786,6827.574000000002,290.40359999999544
99U,1998,1,1998-04-28,1998-07-20,83,27.8410,0.5150,45269.46599999999,837.3900000000009
99U,1998,2,1998-04-28,1998-07-20,83,24.4050,0.5300,39682.53,861.7799999999961
99U,1998,3,1998-04-28,1998-07-20,83,8.0057,0.3249,13017.291428571429,528.2177142857141
99U,1998,4,1998-04-28,1998-07-20,83,2.4412,0.0871,3969.44123076923,141.5870769230783
99U,1998,5,1998-04-28,1998-07-20,83,9.5682,0.1818,15557.893200000002,295.6067999999985
99U,1998,6,1998-04-28,1998-07-20,83,4.0344,0.1408,6559.934399999999,228.9408000000008
99U,1998,7,1998-04-28,1998-07-20,83,NA,NA,NA,NA
99U,1998,8,1998-04-28,1998-07-20,83,NA,NA,NA,NA
99U,1998,9,1998-04-28,1998-07-20,83,NA,NA,NA,NA
99U,1998,10,1998-04-28,1998-07-20,83,6.3400,0.1388,10308.840000000002,225.6887999999997
99U,1998,1,1998-04-28,1998-07-20,83,0.4511,0.0747,733.4886000000005,121.46219999999998
99U,1998,2,1998-04-28,1998-07-20,83,1.0597,0.2080,1723.1263999999999,338.2080000000014
99U,1998,3,1998-04-28,1998-07-20,83,1.4414,0.0830,2343.7164000000002,134.9580000000003
99U,1998,4,1998-04-28,1998-07-20,83,0.9897,0.0760,1609.2522000000001,123.57600000000012
99U,1998,5,1998-04-28,1998-07-20,83,0.8357,0.0742,1358.8482,120.64920000000043
99U,1998,6,1998-04-28,1998-07-20,83,0.4812,0.0713,782.4312000000001,115.93379999999986
99U,1998,7,1998-04-28,1998-07-20,83,0.5042,0.0943,819.8292000000004,153.33180000000007
99U,1998,8,1998-04-28,1998-07-20,83,0.7270,0.0945,1182.1019999999999,153.65700000000004
99U,1998,9,1998-04-28,1998-07-20,83,0.9489,0.0911,1542.9114000000002,148.12859999999992
99U,1998,10,1998-04-28,1998-07-20,83,0.8376,0.0874,1361.9376000000002,142.11239999999952
99U,1999,1,1999-05-01,1999-08-06,97,NA,NA,NA,NA
99U,1999,2,1999-05-01,1999-08-06,97,2.3244,0.1402,3779.4743999999996,227.96520000000015
99U,1999,3,1999-05-01,1999-08-06,97,2.5266,0.0892,4108.232470588235,145.00094117647114
99U,1999,4,1999-05-01,1999-08-06,97,2.8785,0.1561,4680.441000000001,253.81860000000057
99U,1999,5,1999-05-01,1999-08-06,97,2.3408,0.1063,3806.2092631578944,172.86947368421042
99U,1999,6,1999-05-01,1999-08-06,97,2.0144,0.1320,3275.4866666666676,214.6320000000002
99U,1999,7,1999-05-01,1999-08-06,97,4.8327,0.1382,7857.9702,224.7132000000005
99U,1999,8,1999-05-01,1999-08-06,97,3.6456,0.1936,5927.745599999998,314.79359999999997
99U,1999,9,1999-05-01,1999-08-06,97,8.2356,0.2600,13391.0856,422.7599999999997
99U,1999,10,1999-05-01,1999-08-06,97,3.5080,0.1096,5704.008000000002,178.20959999999914
99U,1999,1,1999-08-06,1999-10-15,70,5.5978,0.1776,9102.022800000002,288.77759999999995
99U,1999,2,1999-08-06,1999-10-15,70,3.6642,0.2756,5957.9892,448.12559999999974
99U,1999,3,1999-08-06,1999-10-15,70,2.1248,0.0731,3454.9247999999993,118.86060000000026
99U,1999,4,1999-08-06,1999-10-15,70,5.8290,0.3052,9477.954000000002,496.2551999999988
99U,1999,5,1999-08-06,1999-10-15,70,6.5516,0.2580,10652.901600000001,419.50799999999856
99U,1999,6,1999-08-06,1999-10-15,70,0.5134,0.0239,834.788400000002,38.861399999998966
99U,1999,7,1999-08-06,1999-10-15,70,12.1442,0.4616,19746.4692,750.5616000000011
99U,1999,8,1999-08-06,1999-10-15,70,6.9720,0.4464,11336.472,725.8464000000009
99U,1999,9,1999-08-06,1999-10-15,70,19.2123,0.3827,31239.145599999996,622.2159999999978
99U,1999,10,1999-08-06,1999-10-15,70,NA,NA,NA,NA
99U,2000,1,2000-07-17,2000-10-13,88,1.2345,0.1825,2007.2969999999991,296.7450000000016
99U,2000,2,2000-07-17,2000-10-13,88,1.3974,0.1890,2272.172399999999,307.3140000000008
99U,2000,3,2000-07-17,2000-10-13,88,0.5336,0.0463,867.5871428571417,75.26057142857248
99U,2000,4,2000-07-17,2000-10-13,88,4.4234,0.1909,7192.49485714286,310.33371428571206
99U,2000,5,2000-07-17,2000-10-13,88,3.6089,0.2978,5868.053333333334,484.186666666668
99U,2000,6,2000-07-17,2000-10-13,88,3.8184,0.2562,6208.718400000001,416.5811999999996
99U,2000,7,2000-07-17,2000-10-13,88,3.0780,0.2560,5004.828,416.2559999999974
99U,2000,8,2000-07-17,2000-10-13,88,6.5951,0.2684,10723.650666666668,436.4906666666667
99U,2000,9,2000-07-17,2000-10-13,88,6.1938,0.3588,10071.118800000002,583.4088000000007
99U,2000,10,2000-07-17,2000-10-13,88,2.2244,0.2035,3616.815272727274,330.8170909090914
99U,2000,1,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99U,2000,2,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99U,2000,3,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99U,2000,4,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99U,2000,5,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99U,2000,6,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99U,2000,7,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99U,2000,8,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99U,2000,9,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99U,2000,10,2000-07-17,2000-10-13,88,NA,NA,NA,NA
99U,2001,1,2001-05-17,2001-07-24,68,0.2494,0.0571,405.5244000000001,92.84459999999989
99U,2001,2,2001-05-17,2001-07-24,68,0.4510,0.0711,733.3260000000005,115.60859999999992
99U,2001,3,2001-05-17,2001-07-24,68,0.7386,0.0846,1200.9635999999998,137.55960000000002
99U,2001,4,2001-05-17,2001-07-24,68,1.2748,0.1470,2072.743500000001,239.02199999999897
99U,2001,5,2001-05-17,2001-07-24,68,1.2178,0.0984,1980.1428,159.99839999999972
99U,2001,6,2001-05-17,2001-07-24,68,0.4304,0.0552,699.8304000000002,89.7551999999995
99U,2001,7,2001-05-17,2001-07-24,68,0.5218,0.0647,848.4468,105.20220000000032
99U,2001,8,2001-05-17,2001-07-24,68,0.4655,0.0689,756.9030000000004,112.03139999999958
99U,2001,9,2001-05-17,2001-07-24,68,0.1561,0.0422,253.81859999999983,68.61720000000003
99U,2001,10,2001-05-17,2001-07-24,68,0.7020,0.2016,1141.452,327.8016
NC,1997,1,1997-08-19,1997-11-13,86,0.0518,0.0306,84.22680000000011,49.75559999999994
NC,1997,2,1997-08-19,1997-11-13,86,0.0620,0.0530,100.81199999999973,86.17800000000025
NC,1997,3,1997-08-19,1997-11-13,86,0.0922,0.0356,149.91719999999972,57.885600000000125
NC,1997,4,1997-08-19,1997-11-13,86,0.1253,0.0376,203.7378000000003,61.137599999999765
NC,1997,5,1997-08-19,1997-11-13,86,0.0277,0.0157,45.04020000000009,25.528200000000076
NC,1997,6,1997-08-19,1997-11-13,86,NA,NA,NA,NA
NC,1997,7,1997-08-19,1997-11-13,86,0.2134,0.0407,346.98840000000007,66.17819999999993
NC,1997,8,1997-08-19,1997-11-13,86,0.0866,0.0253,140.81160000000003,41.13780000000016
NC,1997,9,1997-08-19,1997-11-13,86,0.1968,0.0630,319.9968000000001,102.43799999999992
NC,1997,10,1997-08-19,1997-11-13,86,0.0336,0.0184,54.63359999999976,29.918400000000315
