catchment,year,month,distance_m,width_m,rockyoutcrop_percent,boulder_percent,rubble_percent,gravel_percent,detritus_percent,sandsilt_percent,woodbarrier_count,rockbarrier_count,smallbranches_count,largebranches_count,totalbranches_count,trees_count,largeleafpack_count,smallleafpack_count,run_percent,riffle_percent,pool_percent,plungepool_percent,falls_percent,deciduous_percent,coniferous_percent,canopyarea_percent,slope,depth1_cm,depth2_cm,depth3_cm,depth4_cm,depth5_cm
31,1997,july,100,1.7,30,20,20,10,20,0,1,1,NA,NA,46,0,9,2,20,45,35,0,0,90,10,70,steep,NA,NA,NA,NA,NA
31,1997,july,110,2.4,70,20,10,0,0,0,0,0,NA,NA,150,0,12,4,0,90,10,0,0,70,30,95,steep,NA,NA,NA,NA,NA
31,1997,july,120,1.1,20,50,25,0,5,0,1,1,NA,NA,40,2,11,2,25,50,15,5,5,60,40,95,moderate,NA,NA,NA,NA,NA
31,1997,july,130,1.1,10,50,35,0,5,0,0,0,NA,NA,47,0,9,5,25,65,10,0,0,100,0,95,moderate,NA,NA,NA,NA,NA
31,1997,july,140,0.9,0,20,70,10,0,0,2,0,NA,NA,47,1,4,3,60,20,20,0,0,100,0,65,moderate,NA,NA,NA,NA,NA
31,1997,july,150,1.8,0,10,90,0,0,0,0,0,NA,NA,27,1,3,1,75,5,20,0,0,100,0,15,moderate,NA,NA,NA,NA,NA
31,1997,july,160,1.8,0,50,40,0,10,0,0,1,NA,NA,20,0,10,2,30,35,35,0,0,100,0,75,low,NA,NA,NA,NA,NA
31,1997,july,170,0.9,0,50,20,0,20,10,2,0,NA,NA,22,0,7,4,50,35,15,0,0,100,0,95,moderate,NA,NA,NA,NA,NA
31,1997,july,180,1.3,20,20,10,0,50,0,1,0,NA,NA,15,1,2,5,0,45,55,0,0,100,0,95,moderate,NA,NA,NA,NA,NA
31,1997,july,190,2.2,10,0,10,0,80,0,0,0,NA,NA,17,0,5,2,0,85,15,0,0,100,0,75,moderate,NA,NA,NA,NA,NA
31,1997,july,200,2.1,40,5,5,0,50,0,1,0,NA,NA,110,0,3,5,95,0,5,0,0,100,0,99,low,NA,NA,NA,NA,NA
31,1997,july,210,1.1,40,10,30,0,20,0,0,0,NA,NA,75,0,16,3,50,35,15,0,0,100,0,95,moderate,NA,NA,NA,NA,NA
31,1997,july,220,2.1,65,0,20,10,5,0,1,0,NA,NA,35,0,17,5,65,25,10,0,0,100,0,95,low,NA,NA,NA,NA,NA
31,1997,july,230,1.7,70,20,0,0,10,0,1,0,NA,NA,54,0,13,6,55,40,5,0,0,100,0,95,low,NA,NA,NA,NA,NA
31,1997,july,240,1.6,20,5,0,5,70,0,1,0,NA,NA,9,0,5,4,50,5,45,0,0,100,0,95,low,NA,NA,NA,NA,NA
31,1997,july,250,1.1,0,0,10,5,85,0,1,0,NA,NA,45,2,8,0,50,0,40,5,5,100,0,95,low,NA,NA,NA,NA,NA
31,1997,july,260,1.4,0,0,5,5,90,0,1,0,NA,NA,34,0,0,0,85,5,10,0,0,100,0,95,low,NA,NA,NA,NA,NA
31,1997,july,270,1.3,40,10,20,20,10,0,1,0,NA,NA,17,0,5,1,45,45,10,0,0,100,0,95,moderate,NA,NA,NA,NA,NA
31,1997,july,280,0.8,0,5,80,15,0,0,0,0,NA,NA,25,0,5,1,0,90,10,0,0,100,0,95,low,NA,NA,NA,NA,NA
31,1997,july,290,2.8,0,5,20,5,70,0,0,0,NA,NA,18,0,0,3,10,90,0,0,0,100,0,95,low,NA,NA,NA,NA,NA
