catchment,year,date_in,date_out,daysout_number,trap_number,sieve_size,inorganic_g,organic_g,organic_gperm2
33,1997,1997-08-20,1997-11-13,86,6,fine,0.5277999999999992,0.3329000000000004,3.329000000000004
33,1997,1997-08-20,1997-11-13,86,6,coarse,1.0091,1.0884999999999998,10.884999999999998
33,1998,1998-04-30,1998-08-19,112,1,fine,6.068300000000001,2.7079999999999993,27.07999999999999
33,1998,1998-04-30,1998-08-19,112,1,coarse,1.7242,3.384,33.839999999999996
33,1998,1998-04-30,1998-08-19,112,2,fine,13.6617,3.6306000000000016,36.30600000000002
33,1998,1998-04-30,1998-08-19,112,2,coarse,8.409,6.3424,63.42399999999999
33,1998,1998-04-30,1998-08-19,112,3,fine,4.5969,3.1911000000000005,31.911000000000005
33,1998,1998-04-30,1998-08-19,112,3,coarse,1.2652,5.539899999999999,55.398999999999994
33,1998,1998-04-30,1998-08-19,112,4,fine,2.6320000000000006,1.8888,18.888
33,1998,1998-04-30,1998-08-19,112,4,coarse,1.0356999999999998,1.9345,19.345000000000002
33,1998,1998-04-30,1998-08-19,112,5,fine,5.6325,2.6385000000000005,26.385000000000005
33,1998,1998-04-30,1998-08-19,112,5,coarse,1.3714999999999997,4.683,46.83
33,1998,1998-04-30,1998-08-19,112,6,fine,0.19199999999999995,0.3388,3.388
33,1998,1998-04-30,1998-08-19,112,6,coarse,0.11919999999999997,0.41280000000000006,4.128
33,1998,1998-08-20,1998-10-27,69,1,fine,1.9910999999999999,1.6395999999999995,16.395999999999994
33,1998,1998-08-20,1998-10-27,69,1,coarse,0.6933,2.8330999999999995,28.330999999999996
33,1998,1998-08-20,1998-10-27,69,2,fine,2.6981,4.446399999999999,44.463999999999984
33,1998,1998-08-20,1998-10-27,69,2,coarse,1.6936,8.132899999999998,81.32899999999998
33,1998,1998-08-20,1998-10-27,69,3,fine,0.7553000000000003,0.8714,8.713999999999999
33,1998,1998-08-20,1998-10-27,69,3,coarse,0.236,1.7706000000000002,17.706000000000003
