catchment,year,replicate,position,date_in,date_out,daysout_number,initialmass_g,massloss_g
99UL,2003,1,buried,2003-09-09,2003-10-02,24,0.1386,0.0544
99UL,2003,2,buried,2003-09-09,2003-10-02,24,0.1235,0.0207
99UL,2003,3,buried,2003-09-09,2003-10-02,24,0.1484,0.0149
99UL,2003,4,buried,2003-09-09,2003-10-02,24,0.1131,0.0178
99UL,2003,2,buried,2003-09-09,2003-10-16,38,0.135,0.0000
99UL,2003,2,buried,2003-09-09,2003-10-16,38,0.1597,0.0000
99UL,2003,3,buried,2003-09-09,2003-10-16,38,0.1229,0.0000
99UL,2003,4,buried,2003-09-09,2003-10-16,38,0.1352,0.0310
99UL,2003,1,buried,2003-09-09,2003-10-30,52,0.1124,0.0131
99UL,2003,2,buried,2003-09-09,2003-10-30,52,0.1772,0.0301
99UL,2003,3,buried,2003-09-09,2003-10-30,52,0.1291,0.0278
99UL,2003,4,buried,2003-09-09,2003-10-30,52,0.1267,0.0311
99UL,2003,4,buried,2003-09-09,2003-11-14,67,0.1506,0.0398
99UL,2003,2,buried,2003-09-09,2003-11-14,67,0.1347,0.0000
99UL,2003,3,buried,2003-09-09,2003-11-14,67,0.1329,0.0202
99UL,2003,1,buried,2003-09-09,2003-11-14,67,0.1401,0.0344
99UL,2003,2,surface,2003-09-09,2003-10-02,24,0.0965,0.0000
99UL,2003,3,surface,2003-09-09,2003-10-02,24,0.1313,0.0203
99UL,2003,4,surface,2003-09-09,2003-10-02,24,0.1192,0.0215
99UL,2003,1,surface,2003-09-09,2003-10-02,24,0.1216,0.0000
99UL,2003,1,surface,2003-09-09,2003-10-16,38,0.1369,0.0000
99UL,2003,2,surface,2003-09-09,2003-10-16,38,0.1295,0.0104
99UL,2003,3,surface,2003-09-09,2003-10-16,38,0.1577,0.0000
99UL,2003,4,surface,2003-09-09,2003-10-16,38,0.1153,0.0147
99UL,2003,1,surface,2003-09-09,2003-10-30,52,0.1215,0.0083
99UL,2003,2,surface,2003-09-09,2003-10-30,52,0.1364,0.0294
99UL,2003,4,surface,2003-09-09,2003-10-30,52,0.1377,0.0268
99UL,2003,3,surface,2003-09-08,2003-10-30,53,0.1324,0.0336
99UL,2003,4,surface,2003-09-09,2003-11-14,67,0.1265,0.0000
99UL,2003,3,surface,2003-09-09,2003-11-14,67,0.1257,0.0014
99UL,2003,1,surface,2003-09-09,2003-11-14,67,0.1249,0.0449
99UL,2003,2,surface,2003-09-09,2003-11-14,67,0.1271,0.0323
99UL,2004,2,surface,2004-01-14,2004-02-04,21,0.1332,0.0000
99UL,2004,4,surface,2004-01-14,2004-02-04,21,0.1175,0.0062
99UL,2004,6,surface,2004-01-14,2004-02-04,21,0.1081,0.0044
99UL,2004,8,surface,2004-01-14,2004-02-04,21,0.1159,0.0084
99UL,2004,1,surface,2004-01-14,2004-02-23,40,0.12,0.0049
99UL,2004,3,surface,2004-01-14,2004-02-23,40,0.1202,0.0062
99UL,2004,5,surface,2004-01-14,2004-02-23,40,0.1359,0.0101
99UL,2004,7,surface,2004-01-14,2004-02-23,40,0.0987,0.0004
99UL,2004,2,surface,2004-01-14,2004-03-08,54,0.1148,0.0057
99UL,2004,4,surface,2004-01-14,2004-03-08,54,0.1298,0.0053
99UL,2004,6,surface,2004-01-14,2004-03-08,54,0.112,0.0086
99UL,2004,8,surface,2004-01-14,2004-03-08,54,0.1156,0.0073
99UL,2004,1,surface,2004-01-14,2004-03-22,68,0.1334,0.0074
99UL,2004,3,surface,2004-01-14,2004-03-22,68,0.1498,0.0317
99UL,2004,5,surface,2004-01-14,2004-03-22,68,0.1403,0.0287
99UL,2004,7,surface,2004-01-14,2004-03-22,68,0.1134,0.0227
99UU,2003,1,buried,2003-09-08,2003-10-02,25,0.1198,0.0000
99UU,2003,2,buried,2003-09-08,2003-10-02,25,0.1321,0.0410
99UU,2003,3,buried,2003-09-08,2003-10-02,25,0.1151,0.0013
99UU,2003,4,buried,2003-09-08,2003-10-02,25,0.1369,0.0138
99UU,2003,1,buried,2003-09-08,2003-10-16,39,0.116,0.0265
99UU,2003,2,buried,2003-09-08,2003-10-16,39,0.1278,0.0105
99UU,2003,3,buried,2003-09-08,2003-10-16,39,0.127,0.0519
99UU,2003,4,buried,2003-09-08,2003-10-16,39,0.1025,0.0167
99UU,2003,1,buried,2003-09-08,2003-10-30,53,0.1345,0.0084
99UU,2003,2,buried,2003-09-08,2003-10-30,53,0.1325,0.0397
99UU,2003,3,buried,2003-09-08,2003-10-30,53,0.1491,0.0409
99UU,2003,4,buried,2003-09-08,2003-10-30,53,0.12,0.0264
99UU,2003,1,buried,2003-09-08,2003-11-14,68,0.1057,0.0204
99UU,2003,2,buried,2003-09-08,2003-11-14,68,0.1223,0.0055
99UU,2003,3,buried,2003-09-08,2003-11-14,68,0.122,0.0462
99UU,2003,4,buried,2003-09-08,2003-11-14,68,0.1279,0.0273
99UU,2003,1,surface,2003-09-08,2003-10-02,25,0.1148,0.0104
99UU,2003,2,surface,2003-09-08,2003-10-02,25,0.1497,0.0133
99UU,2003,3,surface,2003-09-08,2003-10-02,25,0.1162,0.0000
99UU,2003,4,surface,2003-09-08,2003-10-02,25,0.1193,0.0173
99UU,2003,1,surface,2003-09-08,2003-10-16,39,0.121,0.0000
99UU,2003,2,surface,2003-09-08,2003-10-16,39,0.146,0.0116
99UU,2003,3,surface,2003-09-08,2003-10-16,39,0.119,0.0114
99UU,2003,4,surface,2003-09-08,2003-10-16,39,0.1912,0.0295
99UU,2003,1,surface,2003-09-08,2003-10-30,53,0.1344,0.0255
99UU,2003,2,surface,2003-09-08,2003-10-30,53,0.147,0.0170
99UU,2003,3,surface,2003-09-08,2003-10-30,53,0.1252,0.0305
99UU,2003,4,surface,2003-09-08,2003-10-30,53,0.1162,0.0255
99UU,2003,1,surface,2003-09-08,2003-11-14,68,0.1406,0.0503
99UU,2003,2,surface,2003-09-08,2003-11-14,68,0.1226,0.0297
99UU,2003,3,surface,2003-09-08,2003-11-14,68,0.1462,0.0363
99UU,2003,4,surface,2003-09-08,2003-11-14,68,0.1272,0.0327
99UU,2004,2,surface,2004-01-14,2004-02-04,21,0.1123,0.0039
99UU,2004,4,surface,2004-01-14,2004-02-04,21,0.1143,0.0051
99UU,2004,6,surface,2004-01-14,2004-02-04,21,0.1101,0.0072
99UU,2004,8,surface,2004-01-14,2004-02-04,21,0.13,0.0036
99UU,2004,1,surface,2004-01-14,2004-02-23,40,0.1212,0.0068
99UU,2004,3,surface,2004-01-14,2004-02-23,40,0.1017,0.0046
99UU,2004,5,surface,2004-01-14,2004-02-23,40,0.1435,0.0026
99UU,2004,7,surface,2004-01-14,2004-02-23,40,0.1154,0.0067
99UU,2004,2,surface,2004-01-14,2004-03-08,54,0.1255,0.0096
