catchment,year,replicate,position,date_in,date_out,daysout_number,initialmass_g,massloss_g
38,2001,1a,surface,2001-09-28,2001-11-09,42,0.1921,0.0501
38,2001,1b,surface,2001-09-28,2001-11-09,42,0.1453,0.0352
38,2001,2a,surface,2001-09-28,2001-11-09,42,0.1718,0.0474
38,2001,3a,surface,2001-09-28,2001-11-09,42,0.1551,0.0450
38,2001,3b,surface,2001-09-28,2001-11-09,42,0.1691,0.0479
38,2001,4a,surface,2001-09-28,2001-11-09,42,0.1641,0.0492
38,2001,4b,surface,2001-09-28,2001-11-09,42,0.1719,0.0554
38,2001,5a,surface,2001-09-28,2001-11-09,42,0.1577,0.0525
38,2001,5b,surface,2001-09-28,2001-11-09,42,0.1528,0.0627
38,2001,6a,surface,2001-09-28,2001-11-09,42,0.1405,0.0483
38,2001,7a,surface,2001-09-28,2001-11-09,42,0.1638,0.0557
38,2001,7b,surface,2001-09-28,2001-11-09,42,0.1719,0.0612
38,2001,8a,surface,2001-09-28,2001-11-09,42,0.1713,0.0502
38,2001,8b,surface,2001-09-28,2001-11-09,42,0.1819,0.0538
38,2002,1,surface,2001-05-09,2001-06-26,48,0.139,0.0407
38,2002,2,surface,2001-05-09,2001-06-26,48,0.1443,0.0331
38,2002,3,surface,2001-05-09,2001-06-26,48,0.148,0.0369
38,2002,4,surface,2001-05-09,2001-06-26,48,0.1652,0.0312
38,2002,5,surface,2001-05-09,2001-06-26,48,0.1415,0.0354
38,2002,6,surface,2001-05-09,2001-06-26,48,0.1435,0.0387
38,2002,7,surface,2001-05-09,2001-06-26,48,0.1478,0.0290
38,2002,8,surface,2001-05-09,2001-06-26,48,0.1841,0.0399
38,2002,1,surface,2001-08-27,2001-09-18,22,0.156,0.0268
38,2002,2,surface,2001-08-27,2001-09-18,22,0.1384,0.0460
38,2002,3,surface,2001-08-27,2001-09-18,22,0.1701,0.0296
38,2002,4,surface,2001-08-27,2001-09-18,22,0.1624,0.0283
38,2002,5,surface,2001-08-27,2001-09-18,22,0.1441,0.0275
38,2002,6,surface,2001-08-27,2001-09-18,22,0.1446,0.0207
38,2002,7,surface,2001-08-27,2001-09-18,22,0.1712,0.0251
38,2002,8,surface,2001-08-27,2001-09-18,22,0.1518,0.0229
39,2000,1,surface,2000-05-16,2000-07-25,70,0.1104,NA
39,2000,2,surface,2000-05-16,2000-07-25,70,0.1056,0.0041
